xflr5 v6.50

Plane name :        MXS
Polar name :        T1-15.0 m/s-VLM1
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   12.600     0.000   0.958745   0.064848   0.025490   0.090337   0.000000  -0.000000  -0.514275  -0.000000  -0.000000   15.0000     0.1327
   12.700     0.000   0.966000   0.065838   0.025765   0.091604   0.000000  -0.000000  -0.518142  -0.000000  -0.000000   15.0000     0.1327
   12.800     0.000   0.973248   0.066836   0.026073   0.092909   0.000000  -0.000000  -0.522006  -0.000000  -0.000000   15.0000     0.1328
   12.900     0.000   0.980487   0.067839   0.026412   0.094251   0.000000  -0.000000  -0.525867  -0.000000  -0.000000   15.0000     0.1328
   13.000     0.000   0.987718   0.068849   0.026752   0.095601   0.000000  -0.000000  -0.529722  -0.000000  -0.000000   15.0000     0.1328
   13.100     0.000   0.994940   0.069866   0.027100   0.096966   0.000000  -0.000000  -0.533572  -0.000000  -0.000000   15.0000     0.1329
   13.200     0.000   1.002154   0.070888   0.027436   0.098325   0.000000  -0.000000  -0.537415  -0.000000  -0.000000   15.0000     0.1329
   13.300     0.000   1.009360   0.071918   0.027729   0.099646   0.000000  -0.000000  -0.541250  -0.000000  -0.000000   15.0000     0.1329
   13.400     0.000   1.016557   0.072953   0.028005   0.100958   0.000000  -0.000000  -0.545078  -0.000000  -0.000000   15.0000     0.1330
   13.500     0.000   1.023745   0.073995   0.028275   0.102269   0.000000  -0.000000  -0.548899  -0.000000  -0.000000   15.0000     0.1330
   13.600     0.000   1.030925   0.075043   0.028544   0.103586   0.000000  -0.000000  -0.552714  -0.000000  -0.000000   15.0000     0.1330
   13.700     0.000   1.038096   0.076097   0.028809   0.104906   0.000000  -0.000000  -0.556523  -0.000000  -0.000000   15.0000     0.1331
   13.800     0.000   1.045259   0.077157   0.029092   0.106249   0.000000  -0.000000  -0.560327  -0.000000  -0.000000   15.0000     0.1331
   13.900     0.000   1.052412   0.078224   0.029410   0.107633   0.000000  -0.000000  -0.564128  -0.000000  -0.000000   15.0000     0.1331
   14.000     0.000   1.059557   0.079296   0.029774   0.109070   0.000000  -0.000000  -0.567926  -0.000000  -0.000000   15.0000     0.1332
   14.100     0.000   1.066693   0.080375   0.030157   0.110532   0.000000  -0.000000  -0.571720  -0.000000  -0.000000   15.0000     0.1332
   14.200     0.000   1.073819   0.081460   0.030560   0.112019   0.000000  -0.000000  -0.575508  -0.000000  -0.000000   15.0000     0.1332
   14.300     0.000   1.080937   0.082551   0.031077   0.113628   0.000000  -0.000000  -0.579299  -0.000000  -0.000000   15.0000     0.1333
   14.400     0.000   1.088046   0.083647   0.031702   0.115349   0.000000  -0.000000  -0.583093  -0.000000  -0.000000   15.0000     0.1333
   14.500     0.000   1.095145   0.084750   0.032386   0.117136   0.000000  -0.000000  -0.586884  -0.000000  -0.000000   15.0000     0.1334
   14.600     0.000   1.102236   0.085859   0.033096   0.118954   0.000000  -0.000000  -0.590672  -0.000000  -0.000000   15.0000     0.1334
   14.700     0.000   1.109317   0.086973   0.033706   0.120679   0.000000  -0.000000  -0.594447  -0.000000  -0.000000   15.0000     0.1334
   14.800     0.000   1.116389   0.088093   0.034322   0.122416   0.000000  -0.000000  -0.598215  -0.000000  -0.000000   15.0000     0.1335
   14.900     0.000   1.123451   0.089220   0.034972   0.124191   0.000000  -0.000000  -0.601981  -0.000000  -0.000000   15.0000     0.1335
   15.000     0.000   1.130504   0.090351   0.060665   0.151016   0.000000  -0.000000  -0.607709  -0.000000  -0.000000   15.0000     0.1335
   15.100     0.000   1.137548   0.091489   0.107461   0.198950   0.000000  -0.000000  -0.615130  -0.000000  -0.000000   15.0000     0.1336
   15.200     0.000   1.144582   0.092632   0.114200   0.206833   0.000000  -0.000000  -0.619395  -0.000000  -0.000000   15.0000     0.1336
   15.300     0.000   1.151606   0.093781   0.158443   0.252224   0.000000  -0.000000  -0.626675  -0.000000  -0.000000   15.0000     0.1336
   15.400     0.000   1.158621   0.094936   0.168291   0.263227   0.000000  -0.000000  -0.631219  -0.000000  -0.000000   15.0000     0.1337
   15.500     0.000   1.165626   0.096096   0.213858   0.309954   0.000000  -0.000000  -0.638653  -0.000000  -0.000000   15.0000     0.1337
   15.600     0.000   1.172622   0.097262   0.216164   0.313426   0.000000  -0.000000  -0.642599  -0.000000  -0.000000   15.0000     0.1338
   15.700     0.000   1.179608   0.098434   0.247321   0.345754   0.000000  -0.000000  -0.648884  -0.000000  -0.000000   15.0000     0.1338
   15.800     0.000   1.186584   0.099610   0.259651   0.359261   0.000000  -0.000000  -0.653674  -0.000000  -0.000000   15.0000     0.1338
   15.900     0.000   1.193550   0.100793   0.262300   0.363092   0.000000  -0.000000  -0.657653  -0.000000  -0.000000   15.0000     0.1339
   16.000     0.000   1.200506   0.101980   0.282414   0.384395   0.000000  -0.000000  -0.663096  -0.000000  -0.000000   15.0000     0.1339
   16.100     0.000   1.207452   0.103173   0.302973   0.406147   0.000000  -0.000000  -0.668560  -0.000000  -0.000000   15.0000     0.1340
   16.200     0.000   1.214388   0.104372   0.306068   0.410439   0.000000  -0.000000  -0.672581  -0.000000  -0.000000   15.0000     0.1340
   16.300     0.000   1.221314   0.105576   0.312947   0.418522   0.000000  -0.000000  -0.676926  -0.000000  -0.000000   15.0000     0.1340
   16.400     0.000   1.228230   0.106785   0.342777   0.449562   0.000000  -0.000000  -0.683217  -0.000000  -0.000000   15.0000     0.1341
   16.500     0.000   1.235136   0.107999   0.346284   0.454283   0.000000  -0.000000  -0.687276  -0.000000  -0.000000   15.0000     0.1341
   16.600     0.000   1.242031   0.109218   0.357578   0.466796   0.000000  -0.000000  -0.692017  -0.000000  -0.000000   15.0000     0.1342
   16.700     0.000   1.248916   0.110443   0.361790   0.472232   0.000000  -0.000000  -0.696134  -0.000000  -0.000000   15.0000     0.1342
   16.800     0.000   1.255791   0.111673   0.366292   0.477964   0.000000  -0.000000  -0.700272  -0.000000  -0.000000   15.0000     0.1342
   16.900     0.000   1.262655   0.112907   0.370586   0.483493   0.000000  -0.000000  -0.704389  -0.000000  -0.000000   15.0000     0.1343
   17.000     0.000   1.269510   0.114147   0.375082   0.489229   0.000000  -0.000000  -0.708520  -0.000000  -0.000000   15.0000     0.1343
   17.100     0.000   1.276353   0.115392   0.379475   0.494867   0.000000  -0.000000  -0.712639  -0.000000  -0.000000   15.0000     0.1344
   17.200     0.000   1.283186   0.116642   0.391029   0.507671   0.000000  -0.000000  -0.717409  -0.000000  -0.000000   15.0000     0.1344
   17.300     0.000   1.290009   0.117897   0.400405   0.518302   0.000000  -0.000000  -0.721983  -0.000000  -0.000000   15.0000     0.1345
   17.400     0.000   1.296820   0.119156   0.405091   0.524248   0.000000  -0.000000  -0.726124  -0.000000  -0.000000   15.0000     0.1345
   17.500     0.000   1.303622   0.120421   0.414725   0.535146   0.000000  -0.000000  -0.730723  -0.000000  -0.000000   15.0000     0.1345
   17.600     0.000   1.310412   0.121690   0.419762   0.541452   0.000000  -0.000000  -0.734892  -0.000000  -0.000000   15.0000     0.1346
   17.700     0.000   1.317192   0.122964   0.424761   0.547726   0.000000  -0.000000  -0.739055  -0.000000  -0.000000   15.0000     0.1346
   17.800     0.000   1.323961   0.124243   0.430153   0.554396   0.000000  -0.000000  -0.743252  -0.000000  -0.000000   15.0000     0.1347
   17.900     0.000   1.330719   0.125527   0.435691   0.561217   0.000000  -0.000000  -0.747459  -0.000000  -0.000000   15.0000     0.1347
   18.000     0.000   1.337466   0.126815   0.441733   0.568547   0.000000  -0.000000  -0.751711  -0.000000  -0.000000   15.0000     0.1348


