Trajectories
30
,,1 8,,,1 9,,,1 10,,,1 11,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
89,0,1054.685913,862.769287,577.080933,-4116.814941,-7116.082031,829.026062,-4384.854004,-7628.810547,894.119019,-4298.316406,-7421.281250,895.212708
90,0,1054.630615,862.757263,577.110596,-4116.621582,-7116.091309,829.074890,-4384.995117,-7628.848633,894.158325,-4297.465332,-7421.229492,895.509094
91,0,1054.669312,862.639709,577.106445,-4116.622070,-7116.059082,829.079468,-4384.772949,-7628.785156,894.218018,-4298.066895,-7421.259277,895.257141
92,0,1054.851074,862.216309,576.777954,-4116.666504,-7116.101074,829.120789,-4383.900391,-7628.708984,894.341797,-4297.719238,-7421.209473,895.333374
93,0,1054.791138,862.228821,576.789734,-4116.947266,-7116.109863,829.070007,-4385.034668,-7628.852051,894.003357,-4297.725586,-7421.261230,895.538818
94,0,1054.586548,862.468567,577.071533,-4116.842285,-7116.104004,829.069946,-4384.533691,-7628.773438,893.981689,-4297.743164,-7421.227051,895.482239
95,0,1054.586304,862.407898,577.090820,-4117.040527,-7116.089355,828.980957,-4384.802246,-7628.817383,894.137634,-4296.952148,-7421.168945,895.753296
96,0,1054.554199,862.361938,577.074646,-4116.924805,-7116.091309,829.073364,-4384.125000,-7628.720215,894.159058,-4297.658691,-7421.231934,895.544678
97,0,1054.733887,861.963501,576.770386,-4116.589844,-7116.095215,829.088562,-4384.593262,-7628.788086,893.900208,-4297.739746,-7421.229004,895.269226
98,0,1054.703857,861.915466,576.808960,-4116.790039,-7116.099121,829.005005,-4384.770996,-7628.832031,894.219666,-4298.269043,-7421.276367,895.300903
99,0,1054.495361,862.158447,577.065186,-4117.019043,-7116.115723,829.017700,-4384.989258,-7628.851562,894.181458,-4297.437988,-7421.155762,895.083435
100,0,1054.425781,862.147705,577.090149,-4116.887695,-7116.142090,829.104736,-4384.191895,-7628.689453,894.196960,-4298.410156,-7421.270508,895.043762
101,0,1054.564819,861.762146,576.847351,-4116.738770,-7116.091797,829.077454,-4383.898926,-7628.712402,894.404724,-4297.866211,-7421.247559,895.304016
102,0,1054.354248,862.028320,577.141663,-4116.972656,-7116.073242,829.009460,-4384.191895,-7628.729980,894.044617,-4297.942383,-7421.210449,895.224792
103,0,1054.328613,861.966919,577.113159,-4116.968262,-7116.082520,829.057312,-4384.750977,-7628.825684,894.116943,-4297.801758,-7421.220215,895.261719
104,0,1054.295654,861.879944,577.131653,-4116.791992,-7116.102051,829.052002,-4385.050293,-7628.898438,894.115051,-4298.186035,-7421.237305,895.081909
105,0,1054.276733,861.846375,577.138000,-4116.845215,-7116.076660,829.023010,-4384.538086,-7628.771484,894.106567,-4297.857910,-7421.237793,895.363464
106,0,1054.270752,861.747070,577.136780,-4116.664062,-7116.069336,829.026367,-4384.445312,-7628.737793,894.046753,-4298.327148,-7421.254395,895.094116
107,0,1054.221680,861.720154,577.125305,-4116.660156,-7116.098145,829.069824,-4384.013672,-7628.714355,894.341980,-4297.434082,-7421.208008,895.522339
108,0,1054.196167,861.661865,577.124878,-4116.862305,-7116.102539,829.076660,-4384.881836,-7628.841309,894.052490,-4297.912598,-7421.217285,895.219482
109,0,1054.190674,861.620605,577.211182,-4116.893555,-7116.132812,829.022888,-4384.887695,-7628.812012,894.102539,-4297.817383,-7421.212891,895.451782

