Objects
30
,,Global Angle Crazyflie_01:Crazyflie_01,,,,,,Global Angle LowerTriangle:LowerTriangle,,,,,,Global Angle MXS:MXS,,,,,,Global Angle clover13:clover13,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
88,0,,,,,,,,,,,,,2.431544,2.605408,-2.240832,1043.054443,1107.822388,616.776794,,,,,,
89,0,,,,,,,,,,,,,2.444637,2.603799,-2.235932,1043.560181,1108.144165,616.862122,,,,,,
90,0,,,,,,,,,,,,,2.457069,2.601222,-2.231555,1044.020386,1108.269409,616.818115,,,,,,
91,0,,,,,,,,,,,,,2.469412,2.597918,-2.227581,1044.508179,1108.260010,616.889038,,,,,,
92,0,,,,,,,,,,,,,2.474360,2.595788,-2.220697,1046.636108,1108.252441,617.008240,,,,,,
93,0,,,,,,,,,,,,,2.493657,2.589759,-2.221534,1045.600220,1108.434814,617.128235,,,,,,
94,0,,,,,,,-0.001395,0.002707,-0.076452,1034.478760,1044.239990,567.673950,2.500415,2.587920,-2.214946,1047.385498,1108.288574,617.198303,,,,,,
95,0,,,,,,,-0.000102,0.003321,-0.081877,1034.780029,1044.390137,567.745483,2.510035,2.585944,-2.211475,1047.975586,1108.357178,617.163940,,,,,,
96,0,,,,,,,0.000910,0.003437,-0.086203,1035.156860,1044.368530,567.921997,2.518720,2.584437,-2.208571,1048.217285,1108.604736,616.943359,,,,,,
97,0,,,,,,,-0.000203,0.003234,-0.088345,1035.106323,1044.766479,567.844360,2.521207,2.584908,-2.206039,1049.058350,1108.364136,616.985840,,,,,,
98,0,,,,,,,-0.000229,0.003162,-0.089776,1035.322388,1044.760864,567.833496,2.525795,2.583678,-2.205542,1048.973999,1108.592773,616.869385,,,,,,
99,0,,,,,,,-0.000303,0.003194,-0.089721,1035.537476,1044.911743,567.837036,2.525263,2.583195,-2.206663,1049.204102,1108.461914,617.014526,,,,,,
100,0,,,,,,,0.000632,0.003205,-0.088155,1035.918823,1043.956909,567.763489,2.527982,2.580839,-2.211685,1048.015503,1108.704590,617.059082,,,,,,
101,0,,,,,,,-0.000227,0.003026,-0.084656,1035.758301,1044.416992,567.746399,2.518661,2.583142,-2.211447,1048.838989,1108.540161,617.187134,,,,,,
102,0,,,,,,,-0.000091,0.003066,-0.080609,1035.901367,1044.279541,567.732117,2.510108,2.586042,-2.213083,1048.813477,1108.458496,617.107422,,,,,,
103,0,,,,,,,-0.000941,0.003446,-0.075003,1035.962158,1044.494995,567.387512,2.497985,2.590509,-2.214836,1048.882690,1108.348267,616.958374,,,,,,
104,0,,,,,,,-0.000121,0.003523,-0.068501,1036.210693,1044.391968,567.479919,2.489537,2.593248,-2.221760,1047.348145,1108.424805,616.790283,,,,,,
105,0,,,,,,,0.000567,0.003379,-0.060679,1036.264160,1044.278564,567.464539,2.474816,2.597585,-2.226136,1046.873047,1108.461914,616.686157,,,,,,
106,0,,,,,,,0.001015,0.003078,-0.052010,1036.222168,1044.047241,567.496582,2.457497,2.601111,-2.232080,1046.447510,1108.309814,616.726440,,,,,,
107,0,,,,,,,0.001402,0.002602,-0.042614,1036.149536,1043.763184,567.388184,2.439107,2.605185,-2.238351,1045.870728,1108.259521,616.840942,,,,,,
108,0,,,,,,,0.000885,0.003369,-0.032321,1036.433594,1043.670410,567.558960,2.417800,2.608752,-2.245421,1045.192505,1107.838013,616.780212,,,,,,
109,0,,,,,,,0.001086,0.003727,-0.021489,1036.519165,1043.336914,567.573425,2.396294,2.614458,-2.251158,1044.575684,1107.848877,616.734009,,,,,,
110,0,,,,,,,0.001637,0.003376,-0.010698,1036.473877,1043.028442,567.516174,2.374348,2.620281,-2.256874,1043.791992,1107.684326,616.595642,,,,,,
111,0,,,,,,,0.001859,0.003497,0.000509,1036.524170,1042.696411,567.475830,2.347010,2.627745,-2.259281,1044.155396,1107.461426,616.532043,,,,,,
112,0,,,,,,,0.001881,0.003625,0.011792,1036.399292,1042.746460,567.665283,2.324025,2.633060,-2.265232,1043.366821,1107.322266,616.463379,,,,,,
113,0,,,,,,,0.001832,0.002177,0.024079,1036.523315,1041.793091,567.418945,2.302689,2.636948,-2.271372,1042.554443,1107.119507,616.645020,,,,,,
114,0,,,,,,,0.001061,0.003314,0.035110,1036.645508,1041.398071,567.553650,2.286267,2.638978,-2.280575,1040.578125,1106.983154,616.689758,,,,,,
115,0,,,,,,,0.001468,0.002678,0.045359,1036.285156,1041.258179,567.537598,2.259663,2.645268,-2.281029,1041.493408,1107.054688,616.924194,,,,,,
116,0,,,,,,,-0.000105,0.002604,0.055019,1035.949585,1041.295410,567.295776,2.246822,2.646539,-2.290842,1038.954712,1106.663086,616.763000,,,,,,
117,0,,,,,,,0.000800,0.003073,0.064263,1035.751709,1041.188599,567.539246,2.223683,2.652267,-2.291802,1039.343872,1106.508301,616.779846,,,,,,
118,0,,,,,,,0.001232,0.003094,0.071969,1035.681519,1040.908325,567.447632,2.207975,2.656267,-2.294953,1038.627197,1106.265137,616.741516,,,,,,
119,0,,,,,,,0.001769,0.002950,0.079052,1035.555908,1040.673584,567.460083,2.193543,2.658994,-2.298274,1037.990234,1106.222290,616.726074,,,,,,
120,0,,,,,,,0.001738,0.002680,0.085120,1035.347412,1040.512939,567.557007,2.184489,2.660151,-2.302534,1036.868652,1106.091797,616.798767,,,,,,
121,0,,,,,,,0.001675,0.002561,0.089874,1035.167969,1040.262451,567.604370,2.178162,2.659935,-2.306894,1035.750366,1105.856445,616.964966,,,,,,
122,0,,,,,,,0.001767,0.002549,0.093548,1034.889648,1040.171387,567.692627,2.171360,2.660474,-2.308964,1035.284424,1105.699585,617.093262,,,,,,
123,0,,,,,,,0.001707,0.002800,0.095408,1034.792603,1040.193481,567.744141,2.163853,2.663727,-2.306081,1035.967773,1105.931396,617.194275,,,,,,
124,0,,,,,,,0.001918,0.002893,0.096452,1034.497559,1039.847900,567.711731,2.162085,2.663816,-2.307593,1035.262451,1105.655029,616.959412,,,,,,
125,0,,,,,,,0.002152,0.002581,0.096092,1034.254395,1039.815186,567.671021,2.161971,2.664580,-2.306639,1035.232422,1105.578613,616.933044,,,,,,
126,0,,,,,,,0.002150,0.002629,0.094419,1034.029419,1039.805664,567.678040,2.167096,2.664080,-2.305997,1034.879517,1105.513672,616.851746,,,,,,
127,0,,,,,,,0.002132,0.002638,0.091124,1033.766357,1039.756836,567.578430,2.172663,2.662604,-2.304807,1034.971436,1105.429077,616.913452,,,,,,
128,0,,,,,,,0.002008,0.002689,0.086741,1033.501221,1039.825073,567.581909,2.180544,2.660028,-2.303469,1035.106567,1105.549927,616.944092,,,,,,
129,0,,,,,,,0.001496,0.002732,0.081164,1033.303955,1039.867554,567.580383,2.190358,2.657960,-2.300331,1035.525024,1105.505615,617.007446,,,,,,
